agent,n,seed,value_err_rmse,policy_err_l1,premium_vs_twap,premium_ci_low,premium_ci_high,clearance_prob,wall_clock_sec,kappa_hat
B_ddqn,100,19,0.22362093542872105,0.004113003143490122,0.18191359718621336,0.15513887232891105,0.20922697434786475,0.8875,0.02365589141845703,nan
B_ddqn,316,0,0.11478041611382664,0.018309857367174998,0.12282759111896477,0.11084975002919711,0.1353776917256056,0.0,0.23799705505371094,nan
B_ddqn,316,1,0.0773338496899598,0.013814938401770002,0.1422218976999233,0.11575616491824721,0.16961743124776055,0.354,0.17440080642700195,nan
B_ddqn,316,2,0.1543203554854299,0.033071021215959666,-0.028180900234303835,-0.04531661368614032,-0.010612261514774944,0.0,0.1954958438873291,nan
B_ddqn,316,3,0.1503193150813396,0.017604049459072558,0.06698766603892593,0.037421471074164554,0.09618194408707557,1.0,0.14910483360290527,nan
B_ddqn,316,4,0.11671959522981061,0.014482196685643425,0.04726993747449711,0.0202926395068095,0.07153036238550985,1.0,0.17807388305664062,nan
B_ddqn,316,5,0.06463065756508807,0.01809933531924222,0.09326765571005571,0.08326235252329806,0.10341596589802923,0.0,0.21599888801574707,nan
B_ddqn,316,6,0.039416661090436365,0.02140001193773092,0.06607923388518674,0.052456335639272274,0.07933271114962048,0.0,0.18130707740783691,nan
B_ddqn,316,7,0.08909031390803937,0.016791623383264054,0.0507710337489809,0.03549110891313946,0.06572618417775924,0.0,0.16988420486450195,nan
B_ddqn,316,8,0.06995992944225068,0.020603344493267346,0.08059787026016992,0.05733334802887844,0.10530558823702928,0.9995,0.12867379188537598,nan
B_ddqn,316,9,0.11924878144911773,0.00518891216708532,0.1663399491236314,0.13905476299788908,0.1952208294832572,0.8695,0.2062060832977295,nan
B_ddqn,316,10,0.09372843180722466,0.009632834687958407,0.11816869755229936,0.09251660267667483,0.14329881676769027,0.995,0.060373783111572266,nan
B_ddqn,316,11,0.10997448819870075,0.014608538940632819,0.12216431114601786,0.09358809310358246,0.14896552909243493,0.769,0.15457987785339355,nan
B_ddqn,316,12,0.18351550843795925,0.010703811301999974,0.10074644140968317,0.07656621799134067,0.124180464013209,1.0,0.11301898956298828,nan
B_ddqn,316,13,0.2056164049045947,0.01953134127128892,0.024279852027079697,0.0030759845979555353,0.04645448775233816,0.0075,0.1377429962158203,nan
B_ddqn,316,14,0.13634726981472572,0.011314884694731601,0.08865507385909717,0.06485955109257897,0.11282037003928826,1.0,0.10992813110351562,nan
B_ddqn,316,15,0.10514411622290763,0.008376502845024112,0.15318914785871654,0.12071661699214371,0.18597589233576436,0.1665,0.1835029125213623,nan
B_ddqn,316,16,0.030732335892010677,0.012775930883194094,0.11101173655939862,0.08709990882248925,0.1353317815340185,0.9775,0.13191604614257812,nan
B_ddqn,316,17,0.09068390522941107,0.021211137187514148,0.07981385809614812,0.06797839474582122,0.09202450430346949,0.0005,0.16977262496948242,nan
B_ddqn,316,18,0.0797579056091296,0.01111279774328151,0.09920072778929916,0.07360798237675702,0.12319946531481572,1.0,0.13994216918945312,nan
B_ddqn,316,19,0.062117176570934525,0.011696960918606805,0.11926322708041596,0.09600718998857799,0.14278361347206872,0.517,0.1396031379699707,nan
B_ddqn,1000,0,0.045269096832456904,0.01829760560996544,0.06708943423312164,0.03356532115020763,0.09861022660990953,0.101,0.5983841419219971,nan
B_ddqn,1000,1,0.04157351128139854,0.021067396483218814,0.022408085682372274,0.005940512141922021,0.03937921742907412,0.0005,0.573591947555542,nan
B_ddqn,1000,2,0.06620967963303105,0.009321373221814845,0.14561645960459055,0.11319696838204,0.17697695481187278,0.13,0.4475839138031006,nan
B_ddqn,1000,3,0.04683359247551994,0.012451014118838666,0.14003207958521918,0.10793912744681448,0.17202238378594129,0.794,0.4386320114135742,nan
B_ddqn,1000,4,0.054493139808545546,0.015159205829109745,0.10449588072213487,0.09011661076024975,0.1186552150226734,0.0025,0.6200439929962158,nan
B_ddqn,1000,5,0.3173533512024044,0.016112797743281466,0.005567673314828738,-0.01593090494646572,0.026792393651285582,1.0,0.3334951400756836,nan
B_ddqn,1000,6,0.03970617024115302,0.012360147138292261,0.12350707512962038,0.1127625565288434,0.13343021755707413,0.0005,0.5260930061340332,nan
B_ddqn,1000,7,0.08119944946380699,0.010166144888083253,0.1620995307457092,0.13235438857325107,0.1926869263985997,0.258,0.5802490711212158,nan
B_ddqn,1000,8,0.1316297339496289,0.00894699550773735,0.16307864268102804,0.13197774684132507,0.1933325596319844,0.612,0.4101428985595703,nan
B_ddqn,1000,9,0.07393757246389346,0.02739387483313072,0.029660148286591123,0.015232772584490604,0.04444402075132945,0.0005,0.6105220317840576,nan
B_ddqn,1000,10,0.03409758429148679,0.01110515249074748,0.15261564621886728,0.12753182118982279,0.17849243517949306,0.5565,0.45721006393432617,nan
B_ddqn,1000,11,0.08733815407733095,0.014366681184067209,0.12071006959173362,0.0919699402313591,0.15001185911785528,0.0495,0.6034598350524902,nan
B_ddqn,1000,12,0.037477369427054076,0.016331499007533,0.11935407747830419,0.09502453829474561,0.14263931616314351,0.852,0.5237839221954346,nan
B_ddqn,1000,13,0.07580189100697705,0.012722554318087661,0.056459902615162406,0.0204362597852398,0.09113886919210377,0.0285,0.6417698860168457,nan
B_ddqn,1000,14,0.0594255469851519,0.013022234165429707,0.060509309273284455,0.02564530765267121,0.09782927860040719,0.191,0.4438488483428955,nan
B_ddqn,1000,15,0.047069889329346866,0.023351008151257013,0.0366485156137758,0.024523653260380366,0.04919760971783323,0.0,0.49310994148254395,nan
B_ddqn,1000,16,0.04112492261687274,0.013757419972280853,0.08345451283735074,0.0595534856544828,0.10732686704010273,0.018,0.5140390396118164,nan
B_ddqn,1000,17,0.08143751763951373,0.02081770966866067,0.060487077707965485,0.0380102918797795,0.08214534979258432,0.002,0.556023120880127,nan
B_ddqn,1000,18,0.05483414964620645,0.013612797743281575,0.07336082548388402,0.048113582804509676,0.09787309968910565,1.0,0.6059613227844238,nan
B_ddqn,1000,19,0.08010911755295003,0.014604684107105198,0.04484080769734928,0.02336411765322066,0.06630695892807205,0.0095,0.4959537982940674,nan
B_ddqn,3162,0,0.05794296705185072,0.006567918000936043,0.1707611905476776,0.14087421961047636,0.2000050767225318,0.8725,1.9415311813354492,nan
B_ddqn,3162,1,0.05269408551827123,0.011763796256310105,0.15682732084883416,0.12552954585096934,0.18827821527937055,0.3015,1.8889563083648682,nan
B_ddqn,3162,2,0.04443568994115994,0.01753261705980018,-0.006950965359156157,-0.03625432160400002,0.020572482003757206,0.0065,1.6333420276641846,nan
B_ddqn,3162,3,0.04292781757444968,0.01293695398159986,0.14259892931249096,0.11481565875279558,0.17226974888137592,0.365,1.8738670349121094,nan
B_ddqn,3162,4,0.05158847318996962,0.009684867905937684,0.13876208362688267,0.11132545264806241,0.16320888374534406,0.2855,1.718461275100708,nan
B_ddqn,3162,5,0.0414869703731871,0.01127606291692618,0.17134899564777728,0.14213712832940362,0.20099931866387882,0.4915,1.8523428440093994,nan
B_ddqn,3162,6,0.03875958134557519,0.01249011402833818,0.1461885446913034,0.11398841593033794,0.1782076558460154,0.069,2.0419561862945557,nan
