panel,agent,sweep_value,seed,mo_per_path,terminal_mean,premium_vs_twap,clearance_prob,value_err_rmse
c,B_ddqn,default,12,0.0,300.1476436432415,0.19169090850242265,0.66,nan
c,A_tabular,default,13,0.0,300.04121041425196,0.13805745048100926,0.982,nan
c,B_ddqn,default,13,0.0,300.0656418264144,0.1624888626434388,0.576,nan
c,A_tabular,default,14,0.0,300.09013463064906,0.12482774468957518,0.98,nan
c,B_ddqn,default,14,0.0,300.10222178236256,0.1369148964030544,0.03,nan
c,A_tabular,default,15,0.102,300.0785116413466,0.11831455713154754,0.98,nan
c,B_ddqn,default,15,0.0,300.0987866515154,0.13858956730039382,0.756,nan
c,A_tabular,default,16,0.066,300.06451611132496,0.11846311426955287,0.978,nan
c,B_ddqn,default,16,0.0,300.0503975457109,0.10434454865552426,1.0,nan
c,A_tabular,default,17,0.038,300.099060624529,0.13135405329547836,0.968,nan
c,B_ddqn,default,17,0.0,300.1201169912432,0.15241042000970195,0.964,nan
c,A_tabular,default,18,0.092,300.06632295037247,0.13705484704741183,0.958,nan
c,B_ddqn,default,18,0.006,300.0897769820682,0.16050887874311956,0.968,nan
c,A_tabular,default,19,0.0,300.0919116311157,0.12113854777282791,0.968,nan
c,B_ddqn,default,19,0.0,300.09880752059445,0.12803443725156638,0.008,nan
c,A_tabular,forced_mo_5pct,0,0.03,300.1256796531665,0.17742151990230023,1.0,nan
c,B_ddqn,forced_mo_5pct,0,0.0,300.0935595942078,0.14530146094362703,0.976,nan
c,A_tabular,forced_mo_5pct,1,0.298,300.08681592556184,0.1271148403682871,1.0,nan
c,B_ddqn,forced_mo_5pct,1,0.0,300.1042714629443,0.14457037775074344,0.252,nan
c,A_tabular,forced_mo_5pct,2,0.0,300.0859765137285,0.13473337123567455,1.0,nan
c,B_ddqn,forced_mo_5pct,2,0.0,300.13943999844236,0.18819685594956037,0.27,nan
c,A_tabular,forced_mo_5pct,3,0.034,300.0512403165151,0.12527259704482968,1.0,nan
c,B_ddqn,forced_mo_5pct,3,0.0,300.05921562970894,0.1332479102387698,0.264,nan
c,A_tabular,forced_mo_5pct,4,0.142,300.0995438547716,0.152296897037534,1.0,nan
c,B_ddqn,forced_mo_5pct,4,0.0,300.1013977835903,0.15415082585625647,0.154,nan
c,A_tabular,forced_mo_5pct,5,0.328,300.0679758621683,0.1574791865153967,1.0,nan
c,B_ddqn,forced_mo_5pct,5,0.03,300.1073051752886,0.19680849963577543,0.524,nan
c,A_tabular,forced_mo_5pct,6,0.062,300.0947288514955,0.1229123273672576,1.0,nan
c,B_ddqn,forced_mo_5pct,6,0.428,300.136121078121,0.1643045539928215,0.278,nan
c,A_tabular,forced_mo_5pct,7,0.232,300.07061727558846,0.12021417194492097,1.0,nan
c,B_ddqn,forced_mo_5pct,7,0.384,300.14084339048384,0.19044028684031286,0.7,nan
c,A_tabular,forced_mo_5pct,8,0.01,300.07225942583443,0.12679409297588437,1.0,nan
c,B_ddqn,forced_mo_5pct,8,0.0,300.05107868866577,0.10561335580717332,0.002,nan
c,A_tabular,forced_mo_5pct,9,0.0,300.079390026159,0.1433479755310351,1.0,nan
c,B_ddqn,forced_mo_5pct,9,0.0,300.0347940658446,0.09875201521672226,0.002,nan
c,A_tabular,forced_mo_5pct,10,0.028,300.1018190229833,0.14617755194385462,1.0,nan
c,B_ddqn,forced_mo_5pct,10,0.0,300.1293732459192,0.17373177487980263,0.92,nan
c,A_tabular,forced_mo_5pct,11,0.09,300.05594525331946,0.13467012007396817,1.0,nan
c,B_ddqn,forced_mo_5pct,11,0.0,300.0712513545531,0.14997622130760022,0.868,nan
c,A_tabular,forced_mo_5pct,12,0.136,300.06399040767593,0.10803767293687895,1.0,nan
c,B_ddqn,forced_mo_5pct,12,0.0,300.1186794782795,0.1627267435404374,0.934,nan
c,A_tabular,forced_mo_5pct,13,0.058,300.07074788075755,0.167594916986586,1.0,nan
c,B_ddqn,forced_mo_5pct,13,0.0,300.0002438535105,0.09709088973948042,0.188,nan
c,A_tabular,forced_mo_5pct,14,0.444,300.09603359142267,0.13072670546319864,1.0,nan
c,B_ddqn,forced_mo_5pct,14,0.0,300.1250707310161,0.15976384505665953,0.828,nan
c,A_tabular,forced_mo_5pct,15,0.3,300.0721596085131,0.11196252429805247,1.0,nan
c,B_ddqn,forced_mo_5pct,15,0.0,300.0793086131686,0.11911152895355576,0.214,nan
c,A_tabular,forced_mo_5pct,16,0.042,300.05978809446003,0.11373509740463601,1.0,nan
c,B_ddqn,forced_mo_5pct,16,0.0,299.9623831450479,0.01633014799258092,0.0,nan
c,A_tabular,forced_mo_5pct,17,0.0,300.08307541774144,0.11536884650793047,1.0,nan
c,B_ddqn,forced_mo_5pct,17,3.624,300.06981686656667,0.10211029533311591,1.0,nan
c,A_tabular,forced_mo_5pct,18,0.0,300.0820572372104,0.15278913388535215,1.0,nan
c,B_ddqn,forced_mo_5pct,18,2.542,299.9814719325736,0.0522038292485629,0.4,nan
c,A_tabular,forced_mo_5pct,19,0.146,300.11190734634465,0.14113426300186063,1.0,nan
c,B_ddqn,forced_mo_5pct,19,0.0,300.136430789841,0.16565770649812486,0.538,nan
