regime,lam_train_mult,kap_train_mult,lam_test_mult,kap_test_mult,premium,mo_per_path,clearance_prob
misspec,0.75,0.5,2.0,1.5,0.14234889142813426,1.5565,0.005
misspec,0.75,0.5,2.0,2.0,0.07412206358613224,3.873,0.0
misspec,0.75,0.75,0.5,0.5,0.22014713202362268,0.0435,0.5595
misspec,0.75,0.75,0.5,0.75,0.17308466325886027,0.288,0.1555
misspec,0.75,0.75,0.5,1.0,0.14072145063137217,0.892,0.0315
misspec,0.75,0.75,0.5,1.5,0.08172476750664422,2.5895,0.0015
misspec,0.75,0.75,0.5,2.0,0.055113153517121476,3.999,0.0
misspec,0.75,0.75,0.75,0.5,0.25592355505751796,0.0005,0.9155
misspec,0.75,0.75,0.75,0.75,0.2241349586206548,0.026,0.515
misspec,0.75,0.75,0.75,1.0,0.1690856277330106,0.1835,0.169
misspec,0.75,0.75,0.75,1.5,0.11058059960256367,1.2725,0.0075
misspec,0.75,0.75,0.75,2.0,0.07377822349639482,2.8835,0.0005
misspec,0.75,0.75,1.0,0.5,0.2710682433576194,0.0,0.988
misspec,0.75,0.75,1.0,0.75,0.23982765601252914,0.003,0.763
misspec,0.75,0.75,1.0,1.0,0.20305505396225793,0.0325,0.3585
misspec,0.75,0.75,1.0,1.5,0.13898986319905388,0.6095,0.0255
misspec,0.75,0.75,1.0,2.0,0.09210124362931736,1.981,0.002
misspec,0.75,0.75,1.5,0.5,0.2993286338217105,0.0,1.0
misspec,0.75,0.75,1.5,0.75,0.25783393859660975,0.0,0.9605
misspec,0.75,0.75,1.5,1.0,0.2343955272726779,0.0005,0.7095
misspec,0.75,0.75,1.5,1.5,0.16923437041520065,0.091,0.1255
misspec,0.75,0.75,1.5,2.0,0.11751809683315585,0.85,0.0105
misspec,0.75,0.75,2.0,0.5,0.30566366526011246,0.0,1.0
misspec,0.75,0.75,2.0,0.75,0.2927201906688237,0.0,0.995
misspec,0.75,0.75,2.0,1.0,0.25270179418372546,0.0,0.878
misspec,0.75,0.75,2.0,1.5,0.1925762392260888,0.0155,0.2595
misspec,0.75,0.75,2.0,2.0,0.1473485512663648,0.362,0.026
misspec,0.75,1.0,0.5,0.5,0.19656344833228323,0.0135,0.8225
misspec,0.75,1.0,0.5,0.75,0.16280815616429553,0.048,0.4665
misspec,0.75,1.0,0.5,1.0,0.1401023308794824,0.193,0.1855
misspec,0.75,1.0,0.5,1.5,0.1042134222383288,0.941,0.018
misspec,0.75,1.0,0.5,2.0,0.0757862114300446,1.9605,0.003
misspec,0.75,1.0,0.75,0.5,0.22277450597798146,0.0,0.9855
misspec,0.75,1.0,0.75,0.75,0.20195452600345043,0.001,0.8455
misspec,0.75,1.0,0.75,1.0,0.18045514262959642,0.013,0.5545
misspec,0.75,1.0,0.75,1.5,0.1272275689414693,0.2055,0.1025
misspec,0.75,1.0,0.75,2.0,0.10358745694495516,0.8305,0.015
misspec,0.75,1.0,1.0,0.5,0.2277536525564194,0.0,1.0
misspec,0.75,1.0,1.0,0.75,0.21775945956862,0.0,0.9685
misspec,0.75,1.0,1.0,1.0,0.1996066846996828,0.001,0.7905
misspec,0.75,1.0,1.0,1.5,0.15661651937171767,0.035,0.2635
misspec,0.75,1.0,1.0,2.0,0.12421372628671724,0.305,0.0465
misspec,0.75,1.0,1.5,0.5,0.24346400790962283,0.0,1.0
misspec,0.75,1.0,1.5,0.75,0.2214677856259381,0.0,0.999
misspec,0.75,1.0,1.5,1.0,0.21461692576435418,0.0,0.963
misspec,0.75,1.0,1.5,1.5,0.18470870045019416,0.0015,0.5765
misspec,0.75,1.0,1.5,2.0,0.1346950671478032,0.026,0.156
misspec,0.75,1.0,2.0,0.5,0.23946242458836053,0.0,1.0
misspec,0.75,1.0,2.0,0.75,0.23285392832519972,0.0,1.0
misspec,0.75,1.0,2.0,1.0,0.22215163551492464,0.0,0.995
misspec,0.75,1.0,2.0,1.5,0.18473022744938022,0.0,0.757
misspec,0.75,1.0,2.0,2.0,0.15495525912588393,0.003,0.3105
misspec,0.75,1.5,0.5,0.5,0.15460526882963235,0.0015,0.9565
misspec,0.75,1.5,0.5,0.75,0.14307171645915612,0.005,0.85
misspec,0.75,1.5,0.5,1.0,0.13939752270632866,0.0195,0.6485
misspec,0.75,1.5,0.5,1.5,0.0993522164330849,0.0885,0.24
misspec,0.75,1.5,0.5,2.0,0.09065276080477139,0.2905,0.071
misspec,0.75,1.5,0.75,0.5,0.1700475898494366,0.0,0.9995
misspec,0.75,1.5,0.75,0.75,0.15239523728516122,0.0,0.9935
misspec,0.75,1.5,0.75,1.0,0.14799092680503845,0.0005,0.935
misspec,0.75,1.5,0.75,1.5,0.12328472914938533,0.0045,0.6025
misspec,0.75,1.5,0.75,2.0,0.11632187833301824,0.023,0.249
misspec,0.75,1.5,1.0,0.5,0.17356472906164877,0.0,1.0
misspec,0.75,1.5,1.0,0.75,0.1692637833587508,0.0,0.9995
misspec,0.75,1.5,1.0,1.0,0.16641095267305195,0.0,0.9905
misspec,0.75,1.5,1.0,1.5,0.15546162416764223,0.0,0.833
misspec,0.75,1.5,1.0,2.0,0.12641573617541155,0.001,0.4745
misspec,0.75,1.5,1.5,0.5,0.17554134297889876,0.0,1.0
misspec,0.75,1.5,1.5,0.75,0.17355971366399567,0.0,1.0
misspec,0.75,1.5,1.5,1.0,0.15959120231240073,0.0,1.0
misspec,0.75,1.5,1.5,1.5,0.14849604733854196,0.0,0.971
misspec,0.75,1.5,1.5,2.0,0.14286951031651743,0.0,0.792
misspec,0.75,1.5,2.0,0.5,0.17194964823917655,0.0,1.0
misspec,0.75,1.5,2.0,0.75,0.17582110640414766,0.0,1.0
misspec,0.75,1.5,2.0,1.0,0.17609357005475038,0.0,1.0
misspec,0.75,1.5,2.0,1.5,0.16440208821934155,0.0,0.997
misspec,0.75,1.5,2.0,2.0,0.16002288266238893,0.0,0.9145
misspec,0.75,2.0,0.5,0.5,0.1276905331672324,0.0,0.9845
misspec,0.75,2.0,0.5,0.75,0.11557444684622473,0.001,0.949
misspec,0.75,2.0,0.5,1.0,0.1249989477539157,0.0015,0.862
misspec,0.75,2.0,0.5,1.5,0.11684508764954825,0.01,0.565
misspec,0.75,2.0,0.5,2.0,0.09404998209874742,0.036,0.295
misspec,0.75,2.0,0.75,0.5,0.144219974819774,0.0,1.0
misspec,0.75,2.0,0.75,0.75,0.14191310493625542,0.0,0.999
misspec,0.75,2.0,0.75,1.0,0.12363064832451423,0.0,0.988
misspec,0.75,2.0,0.75,1.5,0.11983177014529799,0.0,0.8975
misspec,0.75,2.0,0.75,2.0,0.11909577189234213,0.0,0.6505
misspec,0.75,2.0,1.0,0.5,0.13987932008139317,0.0,1.0
misspec,0.75,2.0,1.0,0.75,0.13987315814831655,0.0,1.0
misspec,0.75,2.0,1.0,1.0,0.13811644904922224,0.0,0.999
misspec,0.75,2.0,1.0,1.5,0.12360375652092895,0.0,0.9845
misspec,0.75,2.0,1.0,2.0,0.1208898654829608,0.0,0.8625
misspec,0.75,2.0,1.5,0.5,0.1396231300332298,0.0,1.0
misspec,0.75,2.0,1.5,0.75,0.1354413568333742,0.0,1.0
misspec,0.75,2.0,1.5,1.0,0.13939223939553239,0.0,1.0
misspec,0.75,2.0,1.5,1.5,0.13638604763664408,0.0,0.9995
misspec,0.75,2.0,1.5,2.0,0.11882317647572554,0.0,0.979
misspec,0.75,2.0,2.0,0.5,0.14198767066936324,0.0,1.0
misspec,0.75,2.0,2.0,0.75,0.13537698131554537,0.0,1.0
misspec,0.75,2.0,2.0,1.0,0.14020214592704605,0.0,1.0
misspec,0.75,2.0,2.0,1.5,0.13798773129988626,0.0,1.0
misspec,0.75,2.0,2.0,2.0,0.12962681609546858,0.0,0.997
