sigma_lam,lam_idx,lam_value,q,h_t0,mo_trigger_t0
0.0,3,0.3070026248866988,9,0.13199334753245692,False
0.0,3,0.3070026248866988,10,0.1360638246395792,False
0.0,4,0.4741508502303256,0,0.0,False
0.0,4,0.4741508502303256,1,0.030441481189280167,False
0.0,4,0.4741508502303256,2,0.053550397780970975,False
0.0,4,0.4741508502303256,3,0.07221250646697117,False
0.0,4,0.4741508502303256,4,0.08761430290591914,False
0.0,4,0.4741508502303256,5,0.10040957311950895,False
0.0,4,0.4741508502303256,6,0.11101467997720031,False
0.0,4,0.4741508502303256,7,0.11971922419982595,False
0.0,4,0.4741508502303256,8,0.12673704675866046,False
0.0,4,0.4741508502303256,9,0.13223304272411565,False
0.0,4,0.4741508502303256,10,0.13633861952900939,False
0.0,5,0.7323032787003416,0,0.0,False
0.0,5,0.7323032787003416,1,0.030474637511664314,False
0.0,5,0.7323032787003416,2,0.05361921073882132,False
0.0,5,0.7323032787003416,3,0.0723195221146676,False
0.0,5,0.7323032787003416,4,0.08776211022940462,False
0.0,5,0.7323032787003416,5,0.10060080132593002,False
0.0,5,0.7323032787003416,6,0.11125199588570474,False
0.0,5,0.7323032787003416,7,0.12000532973444418,False
0.0,5,0.7323032787003416,8,0.1270746765433294,False
0.0,5,0.7323032787003416,9,0.1326249617789558,False
0.0,5,0.7323032787003416,10,0.13678762106585785,False
0.0,6,1.1310073402478775,0,0.0,False
0.0,6,1.1310073402478775,1,0.030579458143044743,False
0.0,6,1.1310073402478775,2,0.053836284765188834,False
0.0,6,1.1310073402478775,3,0.07265636964128205,False
0.0,6,1.1310073402478775,4,0.08822632855454916,False
0.0,6,1.1310073402478775,5,0.1012000552696057,False
0.0,6,1.1310073402478775,6,0.11199400859593667,False
0.0,6,1.1310073402478775,7,0.12089787396818667,False
0.0,6,1.1310073402478775,8,0.12812556641581077,False
0.0,6,1.1310073402478775,9,0.13384204497214158,False
0.0,6,1.1310073402478775,10,0.13817877148336263,False
0.0,7,1.7467866673556398,0,0.0,False
0.0,7,1.7467866673556398,1,0.030526262479111433,False
0.0,7,1.7467866673556398,2,0.053726547894653066,False
0.0,7,1.7467866673556398,3,0.07248676164407933,False
0.0,7,1.7467866673556398,4,0.0879935422891374,False
0.0,7,1.7467866673556398,5,0.10090081311376288,False
0.0,7,1.7467866673556398,6,0.11162506877372406,False
0.0,7,1.7467866673556398,7,0.12045603646711082,False
0.0,7,1.7467866673556398,8,0.12760767850064847,False
0.0,7,1.7467866673556398,9,0.1332450063040378,False
0.0,7,1.7467866673556398,10,0.1374995388546762,False
0.0,8,2.6978283452896883,0,0.0,False
0.0,8,2.6978283452896883,1,0.030702044760430678,False
0.0,8,2.6978283452896883,2,0.054091477692054066,False
0.0,8,2.6978283452896883,3,0.07305444046057011,False
0.0,8,2.6978283452896883,4,0.088777791192923,False
0.0,8,2.6978283452896883,5,0.10191565656609382,False
0.0,8,2.6978283452896883,6,0.11288471900526027,False
0.0,8,2.6978283452896883,7,0.12197487841498172,False
0.0,8,2.6978283452896883,8,0.12940025531300586,False
0.0,8,2.6978283452896883,9,0.13532600541327275,False
0.0,8,2.6978283452896883,10,0.13988377861428342,False
0.0,9,4.166666666666667,0,0.0,False
0.0,9,4.166666666666667,1,0.030714612507583595,False
0.0,9,4.166666666666667,2,0.05411759177390496,False
0.0,9,4.166666666666667,3,0.07309509884268718,False
0.0,9,4.166666666666667,4,0.08883401008558309,False
0.0,9,4.166666666666667,5,0.10198846932518188,False
0.0,9,4.166666666666667,6,0.11297517506876183,False
0.0,9,4.166666666666667,7,0.122084042276056,False
0.0,9,4.166666666666667,8,0.12952920553024128,False
0.0,9,4.166666666666667,9,0.1354758336583233,False
0.0,9,4.166666666666667,10,0.14005558875664312,False
0.1,0,0.08333333333333334,0,0.0,False
0.1,0,0.08333333333333334,1,0.0303337105516214,False
0.1,0,0.08333333333333334,2,0.053331989146926995,False
0.1,0,0.08333333333333334,3,0.07188053863277037,False
0.1,0,0.08333333333333334,4,0.08716580358426065,False
0.1,0,0.08333333333333334,5,0.09984152154613414,False
