regime,lam_train_mult,kap_train_mult,lam_test_mult,kap_test_mult,premium,mo_per_path,clearance_prob
misspec,0.5,2.0,1.5,0.75,0.12212838315169597,0.0,1.0
misspec,0.5,2.0,1.5,1.0,0.11873231149442227,0.0,1.0
misspec,0.5,2.0,1.5,1.5,0.11557595935332907,0.0,1.0
misspec,0.5,2.0,1.5,2.0,0.11437569481633574,0.0,0.996
misspec,0.5,2.0,2.0,0.5,0.12411811867400109,0.0,1.0
misspec,0.5,2.0,2.0,0.75,0.11794482840151796,0.0,1.0
misspec,0.5,2.0,2.0,1.0,0.11690575857074756,0.0,1.0
misspec,0.5,2.0,2.0,1.5,0.12419932792679567,0.0,1.0
misspec,0.5,2.0,2.0,2.0,0.12186591155590944,0.0,1.0
misspec,0.75,0.5,0.5,0.5,0.216446237601631,0.4415,0.1395
misspec,0.75,0.5,0.5,0.75,0.1323879580183049,1.7225,0.0075
misspec,0.75,0.5,0.5,1.0,0.08373019845283716,3.185,0.0005
misspec,0.75,0.5,0.5,1.5,0.03257771837218453,5.1615,0.0
misspec,0.75,0.5,0.5,2.0,0.010671565051560975,6.102,0.0
misspec,0.75,0.5,0.75,0.5,0.2913277314146239,0.0445,0.465
misspec,0.75,0.5,0.75,0.75,0.18692967510573893,0.6145,0.065
misspec,0.75,0.5,0.75,1.0,0.12276548372528123,1.883,0.0055
misspec,0.75,0.5,0.75,1.5,0.05113481085688562,4.3585,0.0
misspec,0.75,0.5,0.75,2.0,0.018608325436412828,5.6855,0.0
misspec,0.75,0.5,1.0,0.5,0.33416380645950405,0.004,0.7435
misspec,0.75,0.5,1.0,0.75,0.23222485063448972,0.181,0.1715
misspec,0.75,0.5,1.0,1.0,0.1593746595148176,1.044,0.02
misspec,0.75,0.5,1.0,1.5,0.06978007373011402,3.609,0.0
misspec,0.75,0.5,1.0,2.0,0.027551046749480435,5.2785,0.0
misspec,0.75,0.5,1.5,0.5,0.3755025432387289,0.0,0.96
misspec,0.75,0.5,1.5,0.75,0.29647686759742076,0.013,0.4905
misspec,0.75,0.5,1.5,1.0,0.20374878133196347,0.254,0.0925
misspec,0.75,0.5,1.5,1.5,0.1017478089351179,2.462,0.0015
misspec,0.75,0.5,1.5,2.0,0.04382281820757226,4.5445,0.0
misspec,0.75,0.5,2.0,0.5,0.39997790889198365,0.0,0.993
misspec,0.75,0.5,2.0,0.75,0.33726014349504796,0.0,0.723
misspec,0.75,0.5,2.0,1.0,0.24752382206175996,0.048,0.224
misspec,0.75,0.5,2.0,1.5,0.12885639142813696,1.5565,0.005
misspec,0.75,0.5,2.0,2.0,0.05971706358613545,3.873,0.0
misspec,0.75,0.75,0.5,0.5,0.2165721320236234,0.0435,0.5595
misspec,0.75,0.75,0.5,0.75,0.16429466325886222,0.288,0.1555
misspec,0.75,0.75,0.5,1.0,0.12845895063137527,0.892,0.0315
misspec,0.75,0.75,0.5,1.5,0.067342267506647,2.5895,0.0015
misspec,0.75,0.75,0.5,2.0,0.04043565351712422,3.999,0.0
misspec,0.75,0.75,0.75,0.5,0.2553960550575183,0.0005,0.9155
misspec,0.75,0.75,0.75,0.75,0.22042245862065524,0.026,0.515
misspec,0.75,0.75,0.75,1.0,0.16085562773301296,0.1835,0.169
misspec,0.75,0.75,0.75,1.5,0.0972155996025659,1.2725,0.0075
misspec,0.75,0.75,0.75,2.0,0.05934072349639752,2.8835,0.0005
misspec,0.75,0.75,1.0,0.5,0.2710057433576194,0.0,0.988
misspec,0.75,0.75,1.0,0.75,0.23838515601252935,0.003,0.763
misspec,0.75,0.75,1.0,1.0,0.19807005396225902,0.0325,0.3585
misspec,0.75,0.75,1.0,1.5,0.12727236319905644,0.6095,0.0255
misspec,0.75,0.75,1.0,2.0,0.07804624362932011,1.981,0.002
misspec,0.75,0.75,1.5,0.5,0.2993286338217105,0.0,1.0
misspec,0.75,0.75,1.5,0.75,0.2576164385966097,0.0,0.9605
misspec,0.75,0.75,1.5,1.0,0.23273052727267807,0.0005,0.7095
misspec,0.75,0.75,1.5,1.5,0.16119937041520213,0.091,0.1255
misspec,0.75,0.75,1.5,2.0,0.10492809683315824,0.85,0.0105
misspec,0.75,0.75,2.0,0.5,0.30566366526011246,0.0,1.0
misspec,0.75,0.75,2.0,0.75,0.29269519066882366,0.0,0.995
misspec,0.75,0.75,2.0,1.0,0.2520492941837256,0.0,0.878
misspec,0.75,0.75,2.0,1.5,0.18698373922609007,0.0155,0.2595
misspec,0.75,0.75,2.0,2.0,0.13636105126636638,0.362,0.026
misspec,0.75,1.0,0.5,0.5,0.19531344833228373,0.0135,0.8225
misspec,0.75,1.0,0.5,0.75,0.15840065616429683,0.048,0.4665
misspec,0.75,1.0,0.5,1.0,0.13201233087948305,0.193,0.1855
misspec,0.75,1.0,0.5,1.5,0.09154342223833112,0.941,0.018
misspec,0.75,1.0,0.5,2.0,0.061593711430047736,1.9605,0.003
misspec,0.75,1.0,0.75,0.5,0.2226920059779815,0.0,0.9855
misspec,0.75,1.0,0.75,0.75,0.2009920260034505,0.001,0.8455
misspec,0.75,1.0,0.75,1.0,0.17727264262959733,0.013,0.5545
misspec,0.75,1.0,0.75,1.5,0.11803256894147109,0.2055,0.1025
misspec,0.75,1.0,0.75,2.0,0.09094995694495757,0.8305,0.015
misspec,0.75,1.0,1.0,0.5,0.2277536525564194,0.0,1.0
misspec,0.75,1.0,1.0,0.75,0.2175819595686201,0.0,0.9685
misspec,0.75,1.0,1.0,1.0,0.1983641846996831,0.001,0.7905
misspec,0.75,1.0,1.0,1.5,0.15056651937171842,0.035,0.2635
misspec,0.75,1.0,1.0,2.0,0.11363372628671897,0.305,0.0465
misspec,0.75,1.0,1.5,0.5,0.24346400790962283,0.0,1.0
misspec,0.75,1.0,1.5,0.75,0.22146278562593813,0.0,0.999
misspec,0.75,1.0,1.5,1.0,0.21441692576435417,0.0,0.963
misspec,0.75,1.0,1.5,1.5,0.18206620045019486,0.0015,0.5765
misspec,0.75,1.0,1.5,2.0,0.1277450671478052,0.026,0.156
misspec,0.75,1.0,2.0,0.5,0.23946242458836053,0.0,1.0
misspec,0.75,1.0,2.0,0.75,0.23285392832519972,0.0,1.0
misspec,0.75,1.0,2.0,1.0,0.22212663551492465,0.0,0.995
misspec,0.75,1.0,2.0,1.5,0.1834077274493805,0.0,0.757
misspec,0.75,1.0,2.0,2.0,0.15020275912588474,0.003,0.3105
misspec,0.75,1.5,0.5,0.5,0.15429276882963225,0.0015,0.9565
misspec,0.75,1.5,0.5,0.75,0.14198171645915644,0.005,0.85
misspec,0.75,1.5,0.5,1.0,0.13680002270632877,0.0195,0.6485
misspec,0.75,1.5,0.5,1.5,0.0924222164330862,0.0885,0.24
misspec,0.75,1.5,0.5,2.0,0.08038776080477347,0.2905,0.071
misspec,0.75,1.5,0.75,0.5,0.17004508984943661,0.0,0.9995
misspec,0.75,1.5,0.75,0.75,0.15235523728516126,0.0,0.9935
misspec,0.75,1.5,0.75,1.0,0.14760842680503838,0.0005,0.935
misspec,0.75,1.5,0.75,1.5,0.12065972914938582,0.0045,0.6025
misspec,0.75,1.5,0.75,2.0,0.11029937833301949,0.023,0.249
misspec,0.75,1.5,1.0,0.5,0.17356472906164877,0.0,1.0
misspec,0.75,1.5,1.0,0.75,0.1692612833587508,0.0,0.9995
misspec,0.75,1.5,1.0,1.0,0.16636095267305195,0.0,0.9905
misspec,0.75,1.5,1.0,1.5,0.15447912416764234,0.0,0.833
misspec,0.75,1.5,1.0,2.0,0.12294073617541201,0.001,0.4745
misspec,0.75,1.5,1.5,0.5,0.17554134297889876,0.0,1.0
misspec,0.75,1.5,1.5,0.75,0.17355971366399567,0.0,1.0
misspec,0.75,1.5,1.5,1.0,0.15959120231240073,0.0,1.0
misspec,0.75,1.5,1.5,1.5,0.14833854733854196,0.0,0.971
misspec,0.75,1.5,1.5,2.0,0.14172951031651748,0.0,0.792
misspec,0.75,1.5,2.0,0.5,0.17194964823917655,0.0,1.0
misspec,0.75,1.5,2.0,0.75,0.17582110640414766,0.0,1.0
misspec,0.75,1.5,2.0,1.0,0.17609357005475038,0.0,1.0
misspec,0.75,1.5,2.0,1.5,0.16438708821934156,0.0,0.997
misspec,0.75,1.5,2.0,2.0,0.1595878826623891,0.0,0.9145
